Operation	area	high
0599	a_599	35.2
0699	a_699/799	35.2
0799	a_699/799	35.2
0614	b-Submark	35.2
0601	b-Submark	35.2
0608	b-Submark	35.2
1208	c-APL	59.2
2208	c-APL	59.2
1147	c-APL	59.2
1171	c-DSA	
0510	c-JDC	
2170	c-TACS1	59.2
2173	c-TACS1	59.2
2035	c-TACS1	59.2
2175	c-TACS1	59.2
2015	c-TACS1	59.2
2048	d-PLASMA	
5651	e-TPX	57.6
5653	e-TPX	57.6
5652	e-TPX	57.6
5654	e-TPX	57.6
1501	e-TPX	57.6
4992	e-TPX	57.6
2150	f-CTC	35.2
2151	f-CTC	35.2
2152	f-CTC	35.2
1215	f-DFX	38.4
1216	f-DFX	38.4
2004	f-DFX	38.4
2215	f-DFX	38.4
2053	f-DFX	38.4
1934	f-DFX	38.4
1012	f-EPXY	72
1225	f-EPXY	72
2225	f-EPXY	72
1235	g-Cure	83.2
1429	g-Cure	83.2
1173	g-Cure	83.2
1793	g-Cure	83.2
1894	g-Cure	83.2
1004	g-Cure	83.2
1430	g-Cure	83.2
1265	g-Cure	83.2
1266	g-Cure	83.2
1960	g-DLA	
2090	g-DLA	
1268	h-CSAM	
2171	h-TACS23	296
2176	h-TACS23	296
2182	h-TACS23	296
1285	h-TACS23	296
2172	h-TACS23	296
2183	h-TACS23	296
2016	h-TACS23	296
2038	h-TACS23	296
2174	h-TACS23	296
2177	h-TACS23	296
8120	h-TACS23	296
2036	h-TACS23	296
2037	h-TACS23	296
0222	i-FRD	20
1934	i-FRD	20
5652	i-FRD	20
5654	i-FRD	20
1238	j-CTL	40
2169	j-CTL	40
2238	j-CTL	40
1287	j-CTL	40
2219	j-CTL	40
1293	j-CTL	40
2238	j-CTL	40
2287	j-CTL	40
2293	j-CTL	40
1245	j-PxVI	41.6
1246	j-PxVI	41.6
2242	j-PxVI	41.6
1175	j-PxVI	41.6
1025	j-PxVI	41.6
1863	j-PxVI	41.6
1892	j-PxVI	41.6
2252	j-PxVI	41.6
1269	j-PxVI	41.6
1091	j-PxVI	41.6
1248	j-PxVI	41.6
2863	j-PxVI	41.6
5001	j1-5001	
1294	k-BA	130
1440	k-BA	130
1933	k-BA	130
2116	k-BA	130
2133	k-BA	130
7460	k-BI	384
7462	k-BI	384
7463	k-BI	384
7465	k-BI	384
7464	k-BI	384
6262	k-HDMX	112
6212	k-HDMX	112
6215	k-HDMX	112
6267	k-HDMX	112
6217	k-HDMX	112
6248	k-HDMX	112
6274	k-HDMX	112
7820	k-HDMX	112
6242	k-HDMX	112
6261	k-HDMX	112
7827	k-HDMX	112
6258	k-HDMX	112
6263	k-HDMX	112
6208	k-HDMX	112
6243	k-HDMX	112
6249	k-HDMX	112
6213	k-HDMX	112
6193	k-HDMX	112
6264	k-HDMX	112
6248	k-HDMX	112
6731	k-HDMX	112
7821	k-HDMX	112
7823	k-HDMX	112
6881	k-V8	464
6882	k-V8	464
6883	k-V8	464
6885	k-V8	464
6889	k-V8	464
6832	k-V8	464
6555	k-V8	464
6833	k-V8	464
2050	k-V8	464
7735	k-V8	464
7721	k-XTR	464
7723	k-XTR	464
7725	k-XTR	464
7726	k-XTR	464
7741	k-XTR	464
7742	k-XTR	464
7731	k-XTR	464
8585	m-EDISPO1	
7571	m-OLB	59.2
6209	m-OLB	59.2
7983	m-OLB	59.2
7084	m-OLB	59.2
6511	m-OLB	59.2
6676	m-OLB	59.2
6677	m-OLB	59.2
6557	m-OLB	59.2
8595	m-OLB	59.2
7310	m-OLF	17.25
6197	n-FUSE	59.2
7757	n-FUSE	59.2
7297	n-STHI	300.15
6970	n-STHI	300.15
7899	n-STHI	300.15
7980	n-STHI	300.15
6508	n-STHI	300.15
7295	n-STHI	300.15
7981	n-STHI	300.15
7789	n-STHI	300.15
6452	n-STHI	300.15
7300	o-LM	62.1
7485	o-LM	62.1
7906	o-LM	62.1
2423	o-LM	62.1
1680	o-XDVI	62.1
7414	o-XDVI	62.1
7907	o-XDVI	62.1
7473	o-XDVI	62.1
6985	o-XDVI	62.1
7596	o-XDVI	62.1
1007	o-XDVI	62.1
1686	o-XDVI	62.1
1687	o-XDVI	62.1
6394	o-XDVI	62.1
7908	o-XDVI	62.1
6982	p-IRVI	121.9
6547	p-IRVI	121.9
7226	p-TTT	121.9
7296	p-TTT	121.9
7285	p-TTT	121.9
7110	p-TTT	121.9
6386	p-TTT	121.9
2085	p-TRI	62.1
7595	p-TRI	62.1
7594	p-TRI	62.1
1991	q-BAKE	464
1793	q-BAKE	464
7327	q-FVI	121.9
7329	q-FVI	121.9
7330	q-FVI	121.9
7333	q-FVI	121.9
7356	q-FVI	121.9
7368	q-FVI	121.9
7417	q-FVI	121.9
7937	q-FVI	121.9
8020	q-FVI	121.9
8036	q-FVI	121.9
8048	q-FVI	121.9
8049	q-FVI	121.9
8336	q-FVI	121.9
8337	q-FVI	121.9
8555	q-FVI	121.9
7510	q-FVI	121.9
7391	q-FVI	121.9
6868	q-FVI	464
7368	q-FVI	464
8756	q-FVI	464
2733	q-40VI	464
2730	q-40VI	464
7354	q-MVQA	
7472	q-MVQA	
7474	q-MVQA	
7339	q-MVQA	
7475	r-Astrap	121.9
7675	r-Astrap	121.9
7344	r-PACK	
2126	r-PACK	
7454	r-PACK	
7345	s-AQC	
7399	s-Ship	
